CODDISA;NOMDISA;CODIGO_PRE;ESTABLEC;ALMTIPO_COMPLETO;ESTADO;UE;CODIGO_MED;NOMBRE;TIPO;ESTRATEGIC;FORMA_FARM;INDICADOR;MESANO;STOCK;CONSUMO;CPA;NMESES;DME
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04677;METAMIZOL SODICO 1 g 2 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;54424;57514;4792.833333;12;11.36
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05873;SODIO CLORURO 900 mg/100 mL (0.9 %) 1 L INYECTABLE;M;SD;INYECTABLE;NO APLICA;202503;52944;56063;4671.916667;12;11.33
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03552;FERROSO SULFATO 300 mg (Equiv. 60 mg Fe)  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;48176;68387;5698.916667;12;8.45
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05335;PARACETAMOL 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;38675;66233;5519.416667;12;7.01
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01636;CEFALEXINA 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;33355;23555;1962.916667;12;16.99
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;08013;AGUA PARA INYECCION  1 L INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;27569;23971;1997.583333;12;13.8
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01958;CLINDAMICINA (COMO FOSFATO) 600 mg 4 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;24057;18489;1540.75;12;15.61
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04696;METFORMINA CLORHIDRATO 850 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;22386;20156;1679.666667;12;13.33
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00750;AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA) 500 mg + 125 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;22007;17469;1455.75;12;15.12
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01846;CIPROFLOXACINO (COMO CLORHIDRATO) 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;19831;8764;730.333333;12;27.15
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05253;OXITOCINA 10 UI 1 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;19622;35596;2966.333333;12;6.61
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05872;SODIO CLORURO 900 mg/100 mL (0.9 %) 100 mL INYECTABLE;M;SC/SD;INYECTABLE;NO APLICA;202503;19489;21056;1754.666667;12;11.11
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;40803;VALPROATO SODICO (TABLETA DE LIBERACION MODIFICADA) 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;18352;11525;960.416667;12;19.11
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;06231;TRAMADOL CLORHIDRATO 50 mg/mL 1 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;17982;13785;1148.75;12;15.65
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04982;NAPROXENO 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;17214;14961;1246.75;12;13.81
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01964;CLINDAMICINA (COMO CLORHIDRATO) 300 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;16657;16603;1383.583333;12;12.04
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03513;ACIDO FOLICO + FERROSO SULFATO (Equiv. de Hierro elemental) 400 µg + 60 mg Fe  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;15890;21181;1765.083333;12;9
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01532;CARBAMAZEPINA 200 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;15224;7168;597.333333;12;25.49
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;35040;OMEPRAZOL (TABLETA DE LIBERACION MODIFICADA) 20 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;15053;16914;1409.5;12;10.68
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00091;ACIDO ACETILSALICILICO 100 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;15038;9580;798.333333;12;18.84
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05551;POTASIO CLORURO 20 g/100 mL 10 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;13987;11513;959.416667;12;14.58
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04034;IBUPROFENO 400 mg  TABLETA;M;SD;TABLETA;NORMOSTOCK;202503;13873;59287;4940.583333;12;2.81
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04523;LOSARTAN POTASICO 50 mg  TABLETA;M;SD;TABLETA;NORMOSTOCK;202503;13469;29931;2494.25;12;5.4
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03787;DEXTROSA 333 mg/mL (33 %) 20 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;13425;7368;614;12;21.86
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05889;SODIO CLORURO 20 g/100 mL (20 %) 20 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;13034;12994;1082.833333;12;12.04
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00808;AMOXICILINA 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;12223;12785;1065.416667;12;11.47
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03018;DOXICICLINA 100 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;12170;18807;1567.25;12;7.77
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02003;CLONAZEPAM 500 µg (0.5 mg)  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;11454;5113;426.083333;12;26.88
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05880;SODIO CLORURO 900 mg/100 mL (0.9 %) 250 mL INYECTABLE;M;SC/SD;INYECTABLE;NO APLICA;202503;11356;7446;620.5;12;18.3
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02836;DICLOXACILINA (COMO SAL SODICA) 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;11182;4744;395.333333;12;28.28
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01711;CEFUROXIMA (COMO AXETIL) 500 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;11037;11512;959.333333;12;11.5
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00200;ACIDO FOLICO 500 µg (0.5 mg)  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;10676;13576;1131.333333;12;9.44
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03097;EPINEFRINA (COMO CLORHIDRATO O TARTRATO) 1 mg/mL 1 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;10442;10512;876;12;11.92
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01522;CAPTOPRIL 25 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;10353;6095;507.916667;12;20.38
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00903;ATORVASTATINA (COMO SAL CALCICA) 20 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;9859;6851;570.916667;12;17.27
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02642;DEXAMETASONA FOSFATO (COMO SAL SODICA) 4 mg/2 mL 2 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;9646;17988;1499;12;6.43
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05661;RANITIDINA (COMO CLORHIDRATO) 300 mg  TABLETA;M;SD;TABLETA;NO APLICA;202503;9272;2367;215.181818;11;43.09
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04805;METRONIDAZOL 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;8930;12767;1063.916667;12;8.39
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03515;SULFAMETOXAZOL + TRIMETOPRIMA 800 mg + 160 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;8433;4011;334.25;12;25.23
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;06127;TIAMINA CLORHIDRATO 100 mg  TABLETA;M;SD;TABLETA;NORMOSTOCK;202503;8310;20160;1680;12;4.95
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03710;FUROSEMIDA 10 mg/mL 2 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;8236;10655;887.916667;12;9.28
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;18156;CEFAZOLINA (COMO SAL SODICA) CON DILUYENTE 1 g  INYECTABLE;M;SD;INYECTABLE;NORMOSTOCK;202503;8212;17716;1476.333333;12;5.56
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03576;FITOMENADIONA 10 mg/mL 1 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;7855;5996;499.666667;12;15.72
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04743;METOCLOPRAMIDA CLORHIDRATO 5 mg/mL 2 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;7302;13289;1107.416667;12;6.59
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02891;DIMENHIDRINATO 50 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;7213;2953;246.083333;12;29.31
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04666;MEROPENEM 500 mg  INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;7205;8083;673.583333;12;10.7
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02149;CLORFENAMINA MALEATO 4 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;6857;10680;890;12;7.7
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04701;METILDOPA 250 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;6524;11473;956.083333;12;6.82
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04847;MISOPROSTOL 200 µg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;6466;7127;593.916667;12;10.89
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02788;DICLOFENACO SODICO 25 mg/mL 3 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;6397;9248;770.666667;12;8.3
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;06471;VANCOMICINA CLORHIDRATO 500 mg  INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;5765;9750;812.5;12;7.1
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00947;AZITROMICINA 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;5553;4804;400.333333;12;13.87
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04390;LIDOCAINA CLORHIDRATO SIN PRESERVANTES 2 g/100 mL (2 %) 20 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;5510;3768;314;12;17.55
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;20635;CARBONATO DE CALCIO 1.25 g (Equiv. a 500 mg de Calcio)  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;5491;7091;590.916667;12;9.29
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01684;CEFTRIAXONA SODICA 1 g  INYECTABLE;M;SD;INYECTABLE;NORMOSTOCK;202503;5383;16789;1399.083333;12;3.85
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05658;RANITIDINA (COMO CLORHIDRATO) 25 mg/mL 2 mL INYECTABLE;M;SD;INYECTABLE;NO APLICA;202503;5105;8904;809.454545;11;6.31
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03783;DEXTROSA 10 g/100 mL (10 %) 1 L INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4794;2200;183.333333;12;26.15
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05018;NIFEDIPINO 10 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;4783;9209;767.416667;12;6.23
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01537;CARBIDOPA + LEVODOPA 25 mg + 250 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4699;5910;492.5;12;9.54
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04381;LEVOTIROXINA SODICA 100 µg (0.1 mg)  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4620;5373;447.75;12;10.32
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05309;PARACETAMOL 120 mg/5 mL 60 mL JARABE;M;SD;JARABE;SOBRESTOCK;202503;4527;5786;482.166667;12;9.39
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04332;LAMOTRIGINA 50 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4506;3282;273.5;12;16.48
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03078;ENALAPRIL MALEATO 10 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;4377;7931;660.916667;12;6.62
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04776;METRONIDAZOL 500 mg 100 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4328;3708;309;12;14.01
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;19239;BUPIVACAINA CLORHIDRATO + DEXTROSA 20 mg + 320 mg 4 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;4291;2787;232.25;12;18.48
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03751;GENTAMICINA (COMO SULFATO) 40 mg/mL 2 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4274;3477;289.75;12;14.75
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02004;CLONAZEPAM 2 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;4196;1531;139.181818;11;30.15
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00830;AMPICILINA SODICA 1 g  INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4160;5235;436.25;12;9.54
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03713;FUROSEMIDA 40 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4053;3338;278.166667;12;14.57
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03317;ETILEFRINA 10 mg/mL 1 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4025;2614;217.833333;12;18.48
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00269;ALBENDAZOL 200 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;3807;5120;426.666667;12;8.92
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03451;FENITOINA SODICA 100 mg  TABLETA;M;SC/SD;TABLETA;NORMOSTOCK;202503;3609;11638;969.833333;12;3.72
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03789;DEXTROSA 5 g/100 mL (5 %) 1 L INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;3565;6322;526.833333;12;6.77
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04514;LORATADINA 10 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;3547;6152;512.666667;12;6.92
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01467;CALCIO GLUCONATO 100 mg/mL (Equiv. a 8.4 mg/mL de Calc 10 mL INYECTABLE;M;SD;INYECTABLE;NORMOSTOCK;202503;3528;7136;594.666667;12;5.93
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04365;LEVOFLOXACINO 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;3471;3835;319.583333;12;10.86
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05151;OMEPRAZOL (COMO SAL SODICA) 40 mg  INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;3315;3246;270.5;12;12.26
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03224;ESPIRONOLACTONA 25 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;3241;4115;342.916667;12;9.45
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03501;FENTANILO 50 µg/mL 10 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;3172;4587;382.25;12;8.3
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05281;PARACETAMOL 100 mg/mL 10 mL SOLUCION;M;SD;SOLUCION;SOBRESTOCK;202503;3075;2037;169.75;12;18.11
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03747;GENTAMICINA (COMO SULFATO) 80 mg/mL 2 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;3009;3148;262.333333;12;11.47
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;18157;CEFTAZIDIMA CON DILUYENTE 1 g  INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;2946;3560;296.666667;12;9.93
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05211;OXACILINA 1 g  INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2887;3416;284.666667;12;10.14
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01930;CLARITROMICINA 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;2833;2004;167;12;16.96
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;19238;HIERRO (COMO SACARATO) 20 mg Fe/mL 5 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2828;3577;298.083333;12;9.49
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;29001;CAFEINA CITRATO 20 mg/mL 1 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2715;3359;279.916667;12;9.7
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03223;ESPIRONOLACTONA 100 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;2700;1030;206;5;13.11
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04024;IBUPROFENO 100 mg/5 mL 60 mL SUSPENSION;M;SD;SUSPENSION;SOBRESTOCK;202503;2651;2029;169.083333;12;15.68
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02884;DIMENHIDRINATO 50 mg 5 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;2647;4392;366;12;7.23
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03215;ESCOPOLAMINA N-BUTILBROMURO 10 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;2646;4165;347.083333;12;7.62
